Time_s,Altitude_km,Mach,Velocity_ms,Altitude_km,Mach
153.8933344,8433.1226,4.215214306,1637.911845,8.4331226,4.817387778
159.3895249,8443.922091,4.169046994,1619.972546,8.443922091,4.764625136
164.8857155,8439.946304,4.125831854,1603.180378,8.439946304,4.715236404
170.381906,8436.798354,4.082703217,1586.421822,8.436798354,4.665946534
175.8780965,8433.389343,4.045446569,1571.944952,8.433389343,4.623367507
181.374287,8424.902543,4.007376549,1557.15203,8.424902543,4.579858913
186.8704775,8418.906466,3.969477868,1542.425686,8.418906466,4.536546135
192.366668,8425.197347,3.931072675,1527.502525,8.425197347,4.492654486
197.8628586,8436.767006,3.893075482,1512.737901,8.436767006,4.449229122
203.3590491,8415.391062,3.857544125,1498.931432,8.415391062,4.408621857
208.8552396,8369.856693,3.821401516,1484.887446,8.369856693,4.367316018
214.3514301,8363.650886,3.782846599,1469.906107,8.363650886,4.323253256
219.8476206,8389.176892,3.74947641,1456.939405,8.389176892,4.285115897
225.3438111,8422.989973,3.717725623,1444.601956,8.422989973,4.248829283
230.8400016,8459.647654,3.688835338,1433.376017,8.459647654,4.215811815
236.3361922,8463.974592,3.659268622,1421.887236,8.463974592,4.182021282
241.8323827,8421.282719,3.629433193,1410.294041,8.421282719,4.147923649
247.3285732,8342.142761,3.600319669,1398.981357,8.342142761,4.11465105
252.8247637,8228.416217,3.569984947,1387.194151,8.228416217,4.079982796
258.3209542,8114.865543,3.533664402,1373.081025,8.114865543,4.038473602
263.8171447,8001.872286,3.501392291,1360.541005,8.001872286,4.00159119
269.3133353,7879.699617,3.469813059,1348.270217,7.879699617,3.965500639
274.8095258,7743.975719,3.442246566,1337.558665,7.743975719,3.933996075
280.3057163,7595.566288,3.417603137,1327.982934,7.595566288,3.905832157
285.8019068,7402.968088,3.394240929,1318.905047,7.402968088,3.87913249
291.2980973,7195.966686,3.365429091,1307.709589,7.195966686,3.846204675
296.7942878,6960.357803,3.344809605,1299.697447,6.960357803,3.822639549
302.2904783,6726.346421,3.317647234,1289.142925,6.726346421,3.791596839
307.7866689,6493.559302,3.295233925,1280.433753,6.493559302,3.765981628
313.2828594,6254.934108,3.268078043,1269.881754,6.254934108,3.734946335
318.7790499,5957.977266,3.242966212,1260.124014,5.957977266,3.706247099
324.2752404,5684.482618,3.211769927,1248.002029,5.684482618,3.670594202
329.7714309,5386.6733,3.185598875,1237.832706,5.3866733,3.640684429
335.2676214,5062.676042,3.157271869,1226.82564,5.062676042,3.608310707
340.763812,4738.503259,3.12922048,1215.925672,4.738503259,3.576251977
346.2600025,4401.335941,3.099422022,1204.346843,4.401335941,3.542196597
351.756193,4066.833705,3.06859116,1192.366851,4.066833705,3.506961326
357.2523835,3731.315666,3.03839769,1180.634531,3.731315666,3.472454503
362.748574,3393.687087,3.00874245,1169.111352,3.393687087,3.4385628
368.2447645,3055.639811,2.981580959,1158.557173,3.055639811,3.407521096
373.740955,2722.211823,2.960567898,1150.392097,2.722211823,3.383506169
379.2371456,2360.906056,2.939481933,1142.198694,2.360906056,3.359407923
384.7333361,1982.724615,2.913723093,1132.189545,1.982724615,3.329969249
390.2295266,1658.461322,2.881991409,1119.859519,1.658461322,3.293704467
395.7257171,1380.558245,2.854268624,1109.087236,1.380558245,3.262021284
401.2219076,1116.694013,2.829798765,1099.578949,1.116694013,3.234055731
406.7180981,915.7711853,2.797953764,1087.204891,0.915771185,3.197661444
412.2142887,860.7957559,2.74954334,1068.393983,0.860795756,3.142335246
417.7104792,904.4663434,2.707417561,1052.025109,0.904466343,3.094191498
423.2066697,990.3743381,2.669798618,1037.407463,0.990374338,3.05119842
428.7028602,1069.127686,2.62890414,1021.517037,1.069127686,3.004461874
434.1990507,1132.561474,2.600284764,1010.396365,1.132561474,2.971754016
439.6952412,1163.619203,2.573022185,999.8029061,1.163619203,2.940596783
445.1914317,1155.919418,2.542170611,987.8148658,1.155919418,2.905337841
450.6876223,1134.267437,2.513972528,976.8578969,1.134267437,2.873111461
456.1838128,1064.630018,2.4869687,966.3649806,1.064630018,2.842249943
461.6800033,977.0238139,2.461091795,956.3099544,0.977023814,2.812676337
467.1761938,891.0657337,2.429769742,944.1390997,0.891065734,2.776879705
472.6723843,839.8483639,2.396123994,931.0653233,0.839848364,2.738427422
478.1685748,815.1573125,2.362962291,918.1796331,0.815157313,2.700528333
483.6647654,799.5505304,2.33242043,906.3119383,0.79955053,2.665623348
489.1609559,767.1564098,2.307586853,896.66232,0.76715641,2.637242118
494.6571464,742.9078987,2.263953334,879.7075813,0.742907899,2.587375239
500.1533369,765.873751,2.217448881,861.6372792,0.765873751,2.534227292
505.6495274,831.9084629,2.171963036,843.9627798,0.831908463,2.48224347
511.1457179,889.850699,2.130172501,827.7241718,0.889850699,2.434482858
516.6419084,924.7256642,2.094316497,813.7915532,0.924725664,2.393504568
522.138099,923.4296939,2.06642305,802.9529566,0.923429694,2.361626343
527.6342895,867.2006564,2.039739804,792.5846098,0.867200656,2.331131205
533.13048,743.5845278,2.01313408,782.2463854,0.743584528,2.300724663
538.6266705,535.2484173,1.997333278,776.1066452,0.535248417,2.282666603
544.122861,155.6249028,1.994699877,775.0833806,0.155624903,2.279657002
