FaceID,X,Y,Z,Heat Flux
227,0.076481308,0.129582006,0.285567464,1740897.138
228,0.076962476,0.129210073,0.293000427,1188926.998
229,0.07645211,0.130809845,0.304630107,1157796.608
230,0.076936076,0.130437917,0.311987742,1210766.146
231,0.076426674,0.132046163,0.323692739,1183892.48
232,0.076908773,0.131672348,0.330974101,1209669.073
233,0.07639844,0.133285304,0.342752563,1190122.277
234,0.076882408,0.132908671,0.349957662,1210967.458
235,0.076373009,0.134528219,0.361810496,1190064.424
236,0.076856977,0.134148758,0.368940267,1207127.032
237,0.076344777,0.135774892,0.380866465,1197534.646
238,0.076828776,0.135394491,0.387919932,1208720.285
239,0.076317507,0.137028158,0.399920664,1201870.036
240,0.07680334,0.136645869,0.406899007,1221430.243
241,0.076291107,0.138286138,0.418973012,1208771.1
242,0.076774142,0.137901967,0.42587502,1222699.769
243,0.076260043,0.139547887,0.43802535,1228899.682
244,0.076745911,0.139159953,0.444851013,1245234.478
245,0.076234609,0.140811503,0.457074666,1250346.217
246,0.076720474,0.140421672,0.463823995,1255177.664
247,0.07620634,0.142080775,0.476120331,1252929.495
248,0.076692207,0.141689072,0.482794342,1254928.665
249,0.076179042,0.143353836,0.495164012,1247251.371
250,0.076664909,0.142958333,0.501763672,1247336.508
251,0.07615081,0.144629669,0.514208008,1238117.797
252,0.076636676,0.144232305,0.520730672,1238117.797
253,0.076123507,0.145911174,0.533249349,1231849.578
254,0.076609372,0.145511007,0.53969633,1231849.578
255,0.076591474,0.146362203,0.552289998,1230657.023
256,0.076085808,0.14762207,0.558586344,1230657.023
257,0.078489708,0.124499262,0.258712179,1683708.96
258,0.077982208,0.126054784,0.270043365,1799338.39
259,0.078466176,0.125707331,0.277476329,-143393.6909
260,0.077955844,0.127268499,0.288879995,1163977.817
261,0.078439809,0.126919164,0.296239502,1210511.325
262,0.077930407,0.12848881,0.30771757,1194411.489
263,0.078414406,0.128139478,0.31500177,1211803.489
264,0.077902173,0.12971477,0.326553304,1200290.106
265,0.078386141,0.12936073,0.333761241,1213180.314
266,0.077876709,0.130941676,0.345387136,1203654.267
267,0.078362577,0.130587636,0.352516937,1215732.636
268,0.077852244,0.132175171,0.364217234,1197330.919
269,0.078336243,0.131817357,0.3712736,1216572.889
270,0.077824974,0.133410543,0.3830501,1200977.319
271,0.078308973,0.133052729,0.390030172,1219745.271
272,0.077798607,0.134654388,0.401878347,1210475.491
273,0.078284475,0.134292816,0.408780355,1235903.727
274,0.077772242,0.135900126,0.420703023,1222699.769
275,0.078256243,0.135536672,0.427530355,1243245.939
276,0.077744011,0.137150579,0.439528015,1245234.478
277,0.078229876,0.136784297,0.446279012,1253477.196
278,0.077717641,0.138403839,0.458351339,1255177.664
279,0.078203506,0.138035665,0.465027344,1255281.864
280,0.077692207,0.139661794,0.477174011,1254928.665
281,0.078178075,0.139291758,0.483771678,1253795.426
282,0.077663943,0.140923533,0.495991669,1247336.508
283,0.078149811,0.140549733,0.502514994,1246327.778
284,0.077636642,0.142187169,0.514809662,1237347.875
285,0.078124407,0.141810537,0.52125766,1237347.875
286,0.077610306,0.143455505,0.533625651,1234513.882
287,0.07809804,0.14307697,0.539997314,1234513.882
288,0.078080142,0.143920639,0.552439657,1236639.518
289,0.077574509,0.14515037,0.558661662,1236639.518
290,0.079989675,0.121114217,0.243862244,1555145.563
291,0.079482142,0.122630191,0.254966512,1880994.935
292,0.079966143,0.122308169,0.262402313,-152149.8088
293,0.079457677,0.123829788,0.273580943,1164455.014
294,0.079941676,0.123505877,0.28094045,0
295,0.079434141,0.125034086,0.292195343,1193784.929
296,0.079918139,0.124708295,0.299479543,0
297,0.079407806,0.126244041,0.310807902,1210766.146
298,0.079891808,0.125915426,0.318013041,1210414.622
299,0.079382375,0.127456823,0.329414846,1209669.073
300,0.07986821,0.127126322,0.336546509,1215503.036
301,0.079357844,0.128676191,0.348022705,1210967.458
302,0.079843709,0.128343808,0.35507903,1221357.989
303,0.079332441,0.129897441,0.366629628,1207127.032
304,0.079818306,0.129561295,0.37360967,1226869.294
305,0.079306107,0.131123398,0.385233714,1208720.285
306,0.079791974,0.130788193,0.392135549,1235853.865
307,0.079280708,0.132355952,0.403834015,1221430.243
308,0.079766576,0.132016042,0.410659678,1251998.58
309,0.079254344,0.133589452,0.42243335,1243245.939
310,0.079740209,0.13324765,0.429185343,1255082.619
311,0.079227974,0.134828588,0.441033346,1253477.196
312,0.079715706,0.134483963,0.44770934,1255117.379
313,0.079203473,0.136071498,0.459631012,1255281.864
314,0.079692141,0.13572405,0.466230672,1253550.936
315,0.079178042,0.137318181,0.47822467,1253795.426
316,0.079665777,0.136967906,0.484749003,1250396.083
317,0.079151677,0.138567683,0.496819336,1246327.778
318,0.079639409,0.138215515,0.503269338,1244225.706
319,0.079125308,0.139820933,0.515412994,1238237.559
320,0.07961304,0.139466899,0.521784993,1238237.559
